State,Year,Crime,Crime_Description,City,Evidence_Details,Police_Department,Case_Status,Convictions,Acquittals
Odisha,2021,Drug Trafficking,Drug kingpin arrested after years of investigation by law enforcement,Baripada,Character witness testimonies,Bureau of Investigation,Closed,Convicted,No
Odisha,2019,Forgery,Counterfeit currency operation,Berhampur,Photographic evidence,Traffic Enforcement Unit,Closed,Not convicted,No
Assam,1971,Vandalism,Smashing car windows in a parking lot,Nagaon,Photographic evidence,Special Operations Division,Open,Convicted,Yes
Chhattisgarh,1982,Arson,Wildfire arson in a forest,Bilaspur,Property ownership documents,Forensic Science Division,Closed,Convicted,Yes
Haryana,1991,Drug Possession,Drug trafficking in a residential area,Sonipat,Property ownership documents,Bureau of Investigation,Under Investigation,Convicted,No
West Bengal,2008,Homicide,Domestic murder-suicide,Bishnupur,Vehicle registration records,Traffic Enforcement Unit,Under Investigation,Partially convicted,No
Telangana,2007,Homicide,Gang-related shooting in a city street,Khammam,Confession statements,Highway Patrol,Under Investigation,Convicted,No
Chhattisgarh,2015,Forgery,Forgery of legal documents for identity theft,Ambikapur,Confession statements,Cyber Crimes Unit,Under Investigation,Convicted,Yes
Nagaland,2007,Forgery,Check forgery at a bank,Phek,"Physical evidence (e.g., fingerprints, DNA)",Special Operations Division,Under Investigation,Convicted,No
Arunachal Pradesh,1997,Assault,Domestic dispute turned violent,Pasighat,"Digital evidence (e.g., emails, text messages)",Major Crimes Unit,Under Investigation,Not convicted,No
Gujarat,1983,Domestic Violence,Spousal abuse in a domestic setting,Jamnagar,Crime scene photographs,Victim Services Division,Closed,Convicted,Yes
Chhattisgarh,1979,Drug Trafficking,International drug cartel smuggling narcotics across the border,Bhilai,Witness statements,Special Investigations Unit,Closed,Not convicted,Yes
Goa,1990,Domestic Violence,Stalking by an ex-partner,Mormugao,Medical reports,Special Operations Division,Open,Partially convicted,Yes
Madhya Pradesh,1975,Hate Crime,Transgender person assaulted in a hate crime fueled by prejudice,Gwalior,Property ownership documents,Narcotics Division,Open,Partially convicted,Yes
Nagaland,1984,Vandalism,Graffiti on public property,Mon,Expert witness testimony,Traffic Enforcement Unit,Under Investigation,Convicted,No
Odisha,1977,Vandalism,Defacing a monument,Cuttack,Medical reports,K-9 Unit,Under Investigation,Convicted,Yes
Andhra Pradesh,1981,Homicide,Gang-related shooting in a city street,Kakinada,Bank statements,Criminal Investigation Division,Under Investigation,Convicted,Yes
Bihar,2016,Money Laundering,Offshore bank accounts utilized to conceal proceeds from criminal activities,Gaya,Eyewitness accounts,K-9 Unit,Closed,Partially convicted,Yes
Kerala,1979,Fraudulent Schemes,Identity theft ring steals identities to open fraudulent bank accounts,Kozhikode,Confession statements,SWAT Team,Open,Not convicted,Yes
Uttarakhand,1981,Terrorist Attack,"Suicide bombing targets crowded marketplace, resulting in mass casualties",Pithoragarh,Witness statements,Cyber Crimes Unit,Closed,Convicted,No
Haryana,2020,Public Corruption,Government contractor charged with fraud in connection with public projects,Panipat,Bank statements,Special Investigations Unit,Open,Partially convicted,Yes
Meghalaya,1992,Robbery,Mugging in a dark alley,Nongstoin,Forensic analysis reports,Special Investigations Unit,Under Investigation,Not convicted,Yes
Odisha,2024,Vandalism,Defacing a monument,Bhubaneswar,Phone records,Special Operations Division,Open,Partially convicted,No
Madhya Pradesh,1984,Vandalism,Smashing car windows in a parking lot,Jabalpur,Audio recordings,State Police Department,Open,Convicted,Yes
Mizoram,2013,Burglary,Office burglary during the night,Lunglei,Bank statements,Major Crimes Unit,Under Investigation,Not convicted,Yes
Telangana,1996,Forgery,Forgery of legal documents for identity theft,Suryapet,Phone records,State Police Department,Under Investigation,Not convicted,No
West Bengal,1971,Money Laundering,International wire transfers facilitate movement of dirty money across borders,Bishnupur,Vehicle registration records,City Police Department,Open,Convicted,No
Maharashtra,1970,Fraudulent Schemes,Telemarketing scam deceives elderly victims into wiring money,Nashik,Witness statements,Community Policing Unit,Under Investigation,Not convicted,Yes
Telangana,2003,Organized Crime,"Gang violence escalates, leading to multiple homicides",Mahbubnagar,Bank statements,Metropolitan Police Department,Closed,Partially convicted,Yes
Telangana,2007,Fraud,Insurance fraud scheme,Warangal,Video surveillance footage,K-9 Unit,Closed,Convicted,Yes
Tripura,1998,Forgery,Forgery of legal documents for identity theft,Dharmanagar,Forensic analysis reports,Major Crimes Unit,Under Investigation,Partially convicted,Yes
Tamil Nadu,2007,Embezzlement,Employee theft from a retail store,Tiruppur,Witness statements,Victim Services Division,Under Investigation,Not convicted,Yes
Assam,1985,Terrorist Attack,"Cyberterrorists hack into critical infrastructure, causing widespread chaos",Bongaigaon,Crime scene photographs,State Police Department,Open,Not convicted,No
Andhra Pradesh,1999,Public Corruption,Corrupt city official siphons public funds for personal use,Visakhapatnam,"Physical evidence (e.g., fingerprints, DNA)",Metropolitan Police Department,Closed,Not convicted,Yes
Madhya Pradesh,1974,Public Intoxication,Public urination in a city park,Dewas,Forensic analysis reports,Bureau of Investigation,Open,Not convicted,Yes
Goa,2018,Armed Robbery,Masked gunmen hold up a bank with assault rifles,Vasco da Gama,Medical reports,Special Operations Division,Closed,Not convicted,Yes
Kerala,1979,Homicide,Domestic murder-suicide,Kozhikode,Audio recordings,Fraud Investigation Unit,Open,Convicted,No
Gujarat,1995,Human Trafficking,Human smuggling operation intercepted at the border,Gandhinagar,Phone records,City Police Department,Under Investigation,Partially convicted,Yes
Tripura,2005,Organized Crime,"Gang violence escalates, leading to multiple homicides",Belonia,Forensic analysis reports,Narcotics Division,Open,Partially convicted,Yes
Haryana,1985,Car Theft,Luxury SUV stolen from a suburban driveway overnight,Sonipat,Video surveillance footage,Special Investigations Unit,Under Investigation,Convicted,Yes
Manipur,2009,Car Theft,Carjacking of a taxi cab by a lone assailant,Kangpokpi,Vehicle registration records,Special Investigations Unit,Open,Not convicted,Yes
Chhattisgarh,1974,Human Trafficking,"Undercover operation infiltrates human trafficking network, making arrests",Bhilai,Bank statements,Bureau of Investigation,Under Investigation,Partially convicted,No
Chhattisgarh,1975,White-Collar Crime,Insider trading on the stock market,Rajnandgaon,Video surveillance footage,City Police Department,Under Investigation,Not convicted,No
Madhya Pradesh,2013,Assault,Street fight between two individuals,Ujjain,Medical reports,Fraud Investigation Unit,Closed,Convicted,Yes
Uttar Pradesh,1994,Assault,Physical altercation at a bar,Moradabad,Confession statements,Forensic Science Division,Closed,Not convicted,No
Arunachal Pradesh,2009,Cybercrime,Ransomware attack on a business network,Ziro,Phone records,Forensic Science Division,Open,Not convicted,Yes
Madhya Pradesh,1970,Drug Trafficking,Undercover sting operation targeting drug dealers in a high-crime area,Bhopal,Bank statements,Narcotics Division,Closed,Partially convicted,Yes
Meghalaya,1975,Forgery,Check forgery at a bank,Nongstoin,Financial transactions,Fraud Investigation Unit,Open,Convicted,No
Tripura,2006,Vandalism,Smashing car windows in a parking lot,Udaipur,Property ownership documents,Forensic Science Division,Under Investigation,Not convicted,Yes
Uttarakhand,2003,Sexual Assault,Sexual assault by a trusted authority figure,Dehradun,"Physical evidence (e.g., fingerprints, DNA)",Victim Services Division,Open,Partially convicted,Yes
Arunachal Pradesh,2010,Arson,Arson for insurance fraud,Aalo,Financial transactions,Metropolitan Police Department,Closed,Not convicted,No
Haryana,2010,Public Corruption,Police officers implicated in drug trafficking ring,Gurgaon,Audio recordings,Special Operations Division,Open,Partially convicted,No
Uttarakhand,1998,Terrorist Attack,"Terrorist plot foiled by intelligence agencies, preventing major catastrophe",Roorkee,Video surveillance footage,Highway Patrol,Open,Not convicted,No
Assam,2015,Hate Crime,Vandalism of synagogue with anti-Semitic graffiti,Nagaon,"Physical evidence (e.g., fingerprints, DNA)",Special Investigations Unit,Under Investigation,Partially convicted,Yes
Telangana,1986,Domestic Violence,Stalking by an ex-partner,Suryapet,Audio recordings,City Police Department,Open,Partially convicted,No
Arunachal Pradesh,2015,Homicide,Mysterious death investigation,Ziro,Expert witness testimony,Special Operations Division,Under Investigation,Convicted,Yes
Tripura,2017,Organized Crime,Organized crime syndicate implicated in large-scale money laundering operation,Khowai,Forensic analysis reports,SWAT Team,Open,Convicted,No
Jharkhand,2019,Money Laundering,Real estate purchases made with illegally obtained cash to launder funds,Dhanbad,Financial transactions,SWAT Team,Under Investigation,Not convicted,No
Uttar Pradesh,1992,Drug Trafficking,Drug mules apprehended at an airport carrying drugs in their luggage,Aligarh,Phone records,Criminal Investigation Division,Under Investigation,Partially convicted,No
Tripura,2003,Drug Trafficking,"Large drug bust at a warehouse, seizing tons of illicit substances",Agartala,"Digital evidence (e.g., emails, text messages)",Highway Patrol,Open,Partially convicted,No
Himachal Pradesh,1973,Organized Crime,"Gang violence escalates, leading to multiple homicides",Chamba,Eyewitness accounts,Narcotics Division,Closed,Convicted,No
Chhattisgarh,1987,Homicide,Gang-related shooting in a city street,Ambikapur,Confession statements,Special Operations Division,Closed,Convicted,No
Manipur,1974,Public Corruption,Police officers implicated in drug trafficking ring,Lilong,Eyewitness accounts,Homicide Unit,Closed,Partially convicted,Yes
Rajasthan,2019,Domestic Violence,Child abuse within a family,Bikaner,Photographic evidence,Bureau of Investigation,Under Investigation,Not convicted,No
Jharkhand,1979,Theft,Grand theft auto of a luxury vehicle,Chirkunda,Phone records,State Police Department,Open,Convicted,Yes
Nagaland,2006,Kidnapping,Virtual kidnapping scam,Dimapur,Financial transactions,Criminal Investigation Division,Under Investigation,Partially convicted,Yes
Arunachal Pradesh,1979,Fraudulent Schemes,"Ponzi scheme collapses, defrauding investors of millions of dollars",Ziro,Forensic analysis reports,Bureau of Investigation,Under Investigation,Partially convicted,Yes
West Bengal,1973,Money Laundering,International wire transfers facilitate movement of dirty money across borders,Bardhaman,Audio recordings,K-9 Unit,Under Investigation,Partially convicted,Yes
Uttarakhand,1991,Kidnapping,Virtual kidnapping scam,Roorkee,"Digital evidence (e.g., emails, text messages)",Metropolitan Police Department,Under Investigation,Convicted,No
Telangana,2021,Burglary,Break-in at a suburban home,Hyderabad,Bank statements,Bureau of Investigation,Open,Not convicted,No
Goa,2016,Assault,Street fight between two individuals,Bicholim,Video surveillance footage,Forensic Science Division,Closed,Not convicted,Yes
Chhattisgarh,1990,Fraud,Credit card fraud,Ambikapur,Property ownership documents,Criminal Investigation Division,Under Investigation,Not convicted,No
Nagaland,1980,Burglary,Break-in at a suburban home,Tuensang,Forensic analysis reports,Traffic Enforcement Unit,Open,Convicted,Yes
West Bengal,2002,Drug Trafficking,International drug cartel smuggling narcotics across the border,Siliguri,Crime scene photographs,Special Investigations Unit,Under Investigation,Convicted,Yes
Madhya Pradesh,2018,Sexual Assault,Date rape at a college party,Sagar,Forensic analysis reports,Community Policing Unit,Under Investigation,Convicted,No
Maharashtra,2019,Forgery,Check forgery at a bank,Solapur,Crime scene photographs,Cyber Crimes Unit,Closed,Not convicted,Yes
Rajasthan,1999,Public Corruption,"Judicial bribery scandal rocks the legal system, leading to multiple arrests",Sikar,"Physical evidence (e.g., fingerprints, DNA)",SWAT Team,Closed,Not convicted,Yes
Tamil Nadu,1988,Public Corruption,Elected official arrested for accepting bribes in exchange for political favors,Tirunelveli,Expert witness testimony,State Police Department,Under Investigation,Not convicted,No
Jharkhand,1983,Child Abduction,Child abduction by a stranger at a playground,Ranchi,Vehicle registration records,Homicide Unit,Closed,Not convicted,No
Assam,2011,Sexual Assault,Sexual assault by a trusted authority figure,Dibrugarh,Crime scene photographs,Traffic Enforcement Unit,Under Investigation,Not convicted,No
Punjab,1976,Money Laundering,International wire transfers facilitate movement of dirty money across borders,Batala,Witness statements,Cyber Crimes Unit,Closed,Convicted,No
Mizoram,1991,Sexual Assault,Stranger rape in a dark alley,Hnahthial,Medical reports,Victim Services Division,Under Investigation,Not convicted,Yes
Karnataka,1979,Kidnapping,Virtual kidnapping scam,Shimoga,Video surveillance footage,Special Operations Division,Closed,Convicted,Yes
Maharashtra,1970,Arson,Wildfire arson in a forest,Vasai-Virar,Eyewitness accounts,Special Investigations Unit,Open,Not convicted,Yes
Mizoram,2005,Terrorism,Cyberterrorism targeting critical infrastructure,Saitual,Video surveillance footage,Community Policing Unit,Closed,Convicted,Yes
Uttarakhand,1993,Organized Crime,"Drug cartel turf war erupts, resulting in wave of violence in the city",Dehradun,Medical reports,State Police Department,Open,Convicted,Yes
Bihar,2004,Public Corruption,Elected official arrested for accepting bribes in exchange for political favors,Purnia,Expert witness testimony,Forensic Science Division,Open,Partially convicted,Yes
